Genes,Description,Enrichment,pValue
STRN,Striatin OS=Homo sapiens GN=STRN PE=1 SV=4,0.615451698,0.052178894
XPO2,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,0.611953718,0.053827658
PUF60,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1,0.609729088,0.029376859
ERC6L,DNA excision repair protein ERCC-6-like OS=Homo sapiens GN=ERCC6L PE=1 SV=1,0.609681407,0.060148821
GOGA2,Golgin subfamily A member 2 OS=Homo sapiens GN=GOLGA2 PE=1 SV=3,0.607607918,0.083165778
HS71A,Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1,0.604539222,0.003547465
HS71B,Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1,0.604539222,0.003547465
WDR6,WD repeat-containing protein 6 OS=Homo sapiens GN=WDR6 PE=1 SV=1,0.595823223,0.003328321
DYN2,Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,0.590428082,0.040185902
TCPE,T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1,0.58563869,0.000419276
NOG1,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,0.581762532,0.036628025
GRP75,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",0.581655007,0.000515422
LBR,Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2,0.575978227,0.000886598
SRPRB,Signal recognition particle receptor subunit beta OS=Homo sapiens GN=SRPRB PE=1 SV=3,0.573071854,0.017167493
COF1,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3,0.571537802,0.001199453
EDC4,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens GN=EDC4 PE=1 SV=1,0.568687861,0.024979011
PER1,Period circadian protein homolog 1 OS=Homo sapiens GN=PER1 PE=1 SV=2,0.567481784,0.080431602
U2AF2,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4,0.567386869,0.043719987
F135A,Protein FAM135A OS=Homo sapiens GN=FAM135A PE=1 SV=2,0.566327695,0.030005081
EP15R,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,0.565782052,0.009771948
SENP3,Sentrin-specific protease 3 OS=Homo sapiens GN=SENP3 PE=1 SV=2,0.557199167,0.054229555
XRN2,5'-3' exoribonuclease 2 OS=Homo sapiens GN=XRN2 PE=1 SV=1,0.548970776,0.015820759
41,Protein 4.1 OS=Homo sapiens GN=EPB41 PE=1 SV=4,0.546007398,0.013515384
ARFG1,ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens GN=ARFGAP1 PE=1 SV=2,0.544151667,0.035660137
ZO1,Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3,0.54275012,0.044378039
TCPB,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,0.542045192,0.000942043
NOP58,Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,0.541644574,0.001223163
RBM4,RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1,0.536050975,0.015041399
ARP3,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,0.529735339,0.023253595
CING,Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2,0.52835268,0.020607662
ACLY,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,0.521465244,0.00472388
KRI1,Protein KRI1 homolog OS=Homo sapiens GN=KRI1 PE=1 SV=3,0.513781884,0.005367877
CALD1,Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3,0.509838917,0.010634587
ILF2,Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2,0.507378771,0.02717849
RL1D1,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,0.506720709,0.003260122
DDX27,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens GN=DDX27 PE=1 SV=2,0.505891511,0.015385874
HNRPK,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,0.505780644,0.003317299
NGAP,Ras GTPase-activating protein nGAP OS=Homo sapiens GN=RASAL2 PE=1 SV=2,0.503830404,0.001134551
CSK21,Casein kinase II subunit alpha OS=Homo sapiens GN=CSNK2A1 PE=1 SV=1,0.502515387,0.006267026
RANB9,Ran-binding protein 9 OS=Homo sapiens GN=RANBP9 PE=1 SV=1,0.499000761,0.02436934
NACAM,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1",0.497095848,0.001511386
RL30,60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2,0.495618718,0.003779399
ATG2B,Autophagy-related protein 2 homolog B OS=Homo sapiens GN=ATG2B PE=1 SV=5,0.491926928,0.000984476
DKC1,H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3,0.486173534,0.021267247
CAPZB,F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4,0.485665712,0.005257019
ANM7,Protein arginine N-methyltransferase 7 OS=Homo sapiens GN=PRMT7 PE=1 SV=1,0.482798111,0.070566927
DNJA2,DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1,0.477211172,0.001008137
NCKP1,Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1,0.473310216,0.026220939
COR1C,Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1,0.47280845,0.003062151
KAP2,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens GN=PRKAR2A PE=1 SV=2,0.467959099,0.000353688
AP2A1,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3,0.467803828,0.003818162
PRS7,26S proteasome regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3,0.467474467,0.013036826
NUMA1,Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2,0.465531786,0.000890056
PARP1,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4,0.461843753,0.002757187
DDX24,ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1,0.460847607,0.004553506
RRP7A,Ribosomal RNA-processing protein 7 homolog A OS=Homo sapiens GN=RRP7A PE=1 SV=2,0.460157682,0.002956443
U2AF1,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1 PE=1 SV=3,0.455796983,0.003893244
U2AF5,Splicing factor U2AF 35 kDa subunit-like protein OS=Homo sapiens GN=U2AF1L5 PE=1 SV=1,0.455796983,0.003893244
CAZA1,F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3,0.454855795,0.00497959
RAE1L,mRNA export factor OS=Homo sapiens GN=RAE1 PE=1 SV=1,0.45313014,0.003385739
EXOS3,Exosome complex component RRP40 OS=Homo sapiens GN=EXOSC3 PE=1 SV=3,0.446003854,0.003330449
APBB1,Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1 PE=1 SV=2,0.444484219,0.003415086
RPAP3,RNA polymerase II-associated protein 3 OS=Homo sapiens GN=RPAP3 PE=1 SV=2,0.438107377,0.004555674
DDX50,ATP-dependent RNA helicase DDX50 OS=Homo sapiens GN=DDX50 PE=1 SV=1,0.432046588,0.002041895
ROA1,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5,0.428998406,0.00304757
HNRPM,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,0.428181986,0.001585022
IF2P,Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4,0.425843827,0.00122894
NUP98,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4,0.424684959,0.004185525
IMA5,Importin subunit alpha-5 OS=Homo sapiens GN=KPNA1 PE=1 SV=3,0.423493668,0.00734903
BCLF1,Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2,0.414818236,0.02846562
MBB1A,Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2,0.41451307,2.78E-05
SPTN1,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3",0.414483392,0.003393381
TPD54,Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2,0.411336509,0.00044658
KIF23,Kinesin-like protein KIF23 OS=Homo sapiens GN=KIF23 PE=1 SV=3,0.381581742,0.019024704
RBM27,RNA-binding protein 27 OS=Homo sapiens GN=RBM27 PE=1 SV=2,0.38117586,0.000785814
SPTB2,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",0.372097079,7.72E-05
LAS1L,Ribosomal biogenesis protein LAS1L OS=Homo sapiens GN=LAS1L PE=1 SV=2,0.370544989,0.001480035
NONO,Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4,0.363018828,0.000377332
RING2,E3 ubiquitin-protein ligase RING2 OS=Homo sapiens GN=RNF2 PE=1 SV=1,0.360436704,0.000620666
SCRIB,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4,0.358389567,0.001223819
SGT1,Protein SGT1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3,0.358153599,0.000788924
NOLC1,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2,0.353667915,0.011474467
SLK,STE20-like serine/threonine-protein kinase OS=Homo sapiens GN=SLK PE=1 SV=1,0.35278212,0.000969225
STAT1,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,0.351382141,0.002055551
ABCF1,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2,0.34911931,0.000170466
EHBP1,EH domain-binding protein 1 OS=Homo sapiens GN=EHBP1 PE=1 SV=3,0.339640047,0.003912825
RL27,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,0.332404704,0.001700975
MYO1D,Unconventional myosin-Id OS=Homo sapiens GN=MYO1D PE=1 SV=2,0.328529808,0.034791109
RL12,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,0.32838271,9.30E-05
RFC1,Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4,0.328001973,6.07E-05
PCNP,PEST proteolytic signal-containing nuclear protein OS=Homo sapiens GN=PCNP PE=1 SV=2,0.326547036,3.34E-05
WDR44,WD repeat-containing protein 44 OS=Homo sapiens GN=WDR44 PE=1 SV=1,0.325988601,0.000243158
AKAP1,"A-kinase anchor protein 1, mitochondrial OS=Homo sapiens GN=AKAP1 PE=1 SV=1",0.324522686,0.000216626
SMCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1,0.324274612,4.04E-05
TCPQ,T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,0.323174149,8.44E-05
NOP56,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,0.320389221,0.000273755
RUVB1,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,0.306703008,3.44E-05
ESYT1,Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1,0.30474428,7.37E-06
RUVB2,RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3,0.304307464,4.39E-06
MBD3,Methyl-CpG-binding domain protein 3 OS=Homo sapiens GN=MBD3 PE=1 SV=1,0.302427142,0.001532976
MTREX,Exosome RNA helicase MTR4 OS=Homo sapiens GN=MTREX PE=1 SV=3,0.299693971,0.000409059
IMA7,Importin subunit alpha-7 OS=Homo sapiens GN=KPNA6 PE=1 SV=1,0.295536997,2.32E-05
HDAC2,Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2,0.291398986,2.28E-05
TR150,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens GN=THRAP3 PE=1 SV=2,0.29125771,0.000100333
RLA2,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,0.287663552,0.000438893
PR40A,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2,0.282815774,0.001223912
RLA0,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,0.271062032,4.44E-07
NAT10,RNA cytidine acetyltransferase OS=Homo sapiens GN=NAT10 PE=1 SV=2,0.26958746,3.87E-06
DICER,Endoribonuclease Dicer OS=Homo sapiens GN=DICER1 PE=1 SV=3,0.26453742,0.000240161
DNJB1,DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4,0.257122309,0.000548614
ACTG,"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1",0.255422965,0.0001606
DSRAD,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4,0.24631854,8.48E-06
U520,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,0.235625571,2.35E-05
SFPQ,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",0.232027628,3.29E-05
DNM1L,Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=1 SV=2,0.222477147,2.56E-05
STAT3,Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2,0.215750428,0.000283591
NOL6,Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2,0.208858691,1.35E-05
XRCC5,X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,0.208134923,0.003683347
LAP2B,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2",0.206888523,2.07E-05
SUGP2,SURP and G-patch domain-containing protein 2 OS=Homo sapiens GN=SUGP2 PE=1 SV=2,0.20653491,2.59E-05
ML12A,Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2,0.204067338,0.000143784
SON,Protein SON OS=Homo sapiens GN=SON PE=1 SV=4,0.202196749,7.05E-06
MYCB2,E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens GN=MYCBP2 PE=1 SV=3,0.201666617,0.000612953
NPM,Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,0.192324065,5.61E-07
NUCL,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,0.191655732,1.98E-06
E41L2,Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1,0.178923978,4.25E-05
WDR11,WD repeat-containing protein 11 OS=Homo sapiens GN=WDR11 PE=1 SV=1,0.175889495,6.69E-06
BIRC6,Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens GN=BIRC6 PE=1 SV=2,0.175785697,3.29E-05
SMHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,0.175105742,1.26E-07
C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1",0.17399344,0.000182526
PSPC1,Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1,0.172231833,8.42E-05
RRBP1,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4,0.171137468,0.000261344
EPS15,Epidermal growth factor receptor substrate 15 OS=Homo sapiens GN=EPS15 PE=1 SV=2,0.169989064,2.13E-06
CPSF1,Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens GN=CPSF1 PE=1 SV=2,0.167961587,2.23E-06
E41L3,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=1 SV=2,0.167229286,4.16E-05
THOC2,THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2,0.161880804,1.01E-06
MYH9,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,0.153700673,9.55E-05
KI67,Proliferation marker protein Ki-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2,0.139817524,1.73E-06
RBM25,RNA-binding protein 25 OS=Homo sapiens GN=RBM25 PE=1 SV=3,0.137995439,5.62E-05
PRP8,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,0.136502826,4.67E-06
PRP19,Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1,0.132194522,5.28E-06
DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,0.123539498,0.000257331
LAP2A,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2",0.122525509,7.74E-07
HCFC1,Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2,0.120241748,1.30E-05
CPSF2,Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens GN=CPSF2 PE=1 SV=2,0.117096963,2.97E-05
MGAP,MAX gene-associated protein OS=Homo sapiens GN=MGA PE=1 SV=3,0.112441203,9.93E-06
SF3B1,Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3,0.106431376,6.06E-08
MYH10,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,0.095258464,0.000230559
RIF1,Telomere-associated protein RIF1 OS=Homo sapiens GN=RIF1 PE=1 SV=2,0.089063578,1.38E-05
TASOR,Protein TASOR OS=Homo sapiens GN=FAM208A PE=1 SV=3,0.088318373,2.04E-06
XRCC6,X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,0.081650904,0.000964304
MYL6,Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2,0.079873534,0.000126578
SR140,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens GN=U2SURP PE=1 SV=2,0.068575732,3.71E-06
CHD4,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2,0.065998876,8.64E-09
ELYS,Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3,0.05993616,1.88E-07
SF3B6,Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1,0.558771685,0.005891311
IFT25,Intraflagellar transport protein 25 homolog OS=Homo sapiens GN=HSPB11 PE=1 SV=1,1.597730943,0.612479641
ROA3,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,3.187393392,0.41652111
RL10A,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2,0.162658646,0.000157167
TRA2B,Transformer-2 protein homolog beta OS=Homo sapiens GN=TRA2B PE=1 SV=1,0.552117211,0.043711199
CENPM,Centromere protein M OS=Homo sapiens GN=CENPM PE=1 SV=1,1.429888987,0.947887405
RL7L,60S ribosomal protein L7-like 1 OS=Homo sapiens GN=RPL7L1 PE=1 SV=1,1.033835768,0.579008007
SMD3,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1,1.903135329,0.947115627
RAB2A,Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,2.157762603,0.267169425
CAZA2,F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3,1.901846088,0.29356747
NDUAD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3,0.855419717,0.855353051
RBMX,"RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3",1.571249295,0.949355226
EXOS5,Exosome complex component RRP46 OS=Homo sapiens GN=EXOSC5 PE=1 SV=1,0.710188371,0.045398315
HAP28,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,1.268512074,0.448204656
EXOS8,Exosome complex component RRP43 OS=Homo sapiens GN=EXOSC8 PE=1 SV=1,0.383572979,0.002600263
JUPI2,Jupiter microtubule associated homolog 2 OS=Homo sapiens GN=JPT2 PE=1 SV=1,0.95605055,0.508658711
RAB9A,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,0.854283254,0.631937326
SPF27,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens GN=BCAS2 PE=1 SV=1,0.236757854,0.001336167
ATX10,Ataxin-10 OS=Homo sapiens GN=ATXN10 PE=1 SV=1,1.373537274,0.725684009
NDUS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",1.212466975,0.463500231
SUPT3,Transcription initiation protein SPT3 homolog OS=Homo sapiens GN=SUPT3H PE=1 SV=2,0.33511368,0.001463228
RT27,"28S ribosomal protein S27, mitochondrial OS=Homo sapiens GN=MRPS27 PE=1 SV=3",1.283569458,0.781217511
ATPF2,ATP synthase mitochondrial F1 complex assembly factor 2 OS=Homo sapiens GN=ATPAF2 PE=1 SV=1,1.281388237,0.415179114
TBB2B,Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1,1.586589846,0.351677473
OST48,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4,1.906084833,0.936780649
SMAP1,Stromal membrane-associated protein 1 OS=Homo sapiens GN=SMAP1 PE=1 SV=2,0.799754733,0.351311328
PURA,Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2,1.60170987,0.348369257
NUP54,Nucleoporin p54 OS=Homo sapiens GN=NUP54 PE=1 SV=2,0.455137783,0.001319984
TXLNG,Gamma-taxilin OS=Homo sapiens GN=TXLNG PE=1 SV=2,1.274695535,0.787051316
LYAR,Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2,0.509662164,0.004304184
RPAP2,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 OS=Homo sapiens GN=RPAP2 PE=1 SV=1,1.910263284,0.937799378
FMR1,Synaptic functional regulator FMR1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,1.907270249,0.288745332
HNRPR,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,0.983187108,0.145820314
RBBP7,Histone-binding protein RBBP7 OS=Homo sapiens GN=RBBP7 PE=1 SV=1,0.249331958,0.00020473
ORC4,Origin recognition complex subunit 4 OS=Homo sapiens GN=ORC4 PE=1 SV=2,1.280751755,0.415391157
WIPI2,WD repeat domain phosphoinositide-interacting protein 2 OS=Homo sapiens GN=WIPI2 PE=1 SV=1,1.467603891,0.685227034
CHERP,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens GN=CHERP PE=1 SV=3,0.129840767,1.34E-05
CPVL,Probable serine carboxypeptidase CPVL OS=Homo sapiens GN=CPVL PE=1 SV=2,0.748820668,0.046884559
TFCP2,Alpha-globin transcription factor CP2 OS=Homo sapiens GN=TFCP2 PE=1 SV=2,0.605809577,0.014058501
SRP54,Signal recognition particle 54 kDa protein OS=Homo sapiens GN=SRP54 PE=1 SV=1,0.300920932,0.001520474
SEC63,Translocation protein SEC63 homolog OS=Homo sapiens GN=SEC63 PE=1 SV=2,1.220692464,0.819285969
GCR,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,0.232179285,0.000313916
RINT1,RAD50-interacting protein 1 OS=Homo sapiens GN=RINT1 PE=1 SV=1,0.848800229,0.09099813
CPSF6,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=1 SV=2,0.304242484,0.000239943
GLYR1,Putative oxidoreductase GLYR1 OS=Homo sapiens GN=GLYR1 PE=1 SV=3,0.085613728,0.000133101
MATR3,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2,0.287319769,0.000349702
FIP1,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1,0.17429047,5.37E-05
SF3B3,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4,0.100698037,2.99E-06
SYNRG,Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2,0.588000685,0.016335179
FANCI,Fanconi anemia group I protein OS=Homo sapiens GN=FANCI PE=1 SV=4,0.575248915,0.009152484
PEAK1,Pseudopodium-enriched atypical kinase 1 OS=Homo sapiens GN=PEAK1 PE=1 SV=4,1.277351644,0.432509821
NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens GN=NOL9 PE=1 SV=1,0.544957988,0.007376417
IPO4,Importin-4 OS=Homo sapiens GN=IPO4 PE=1 SV=2,2.242400719,0.263399625
TRM1L,TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2,0.509199083,0.004510506
BAZ1B,Tyrosine-protein kinase BAZ1B OS=Homo sapiens GN=BAZ1B PE=1 SV=2,0.232016473,0.003724538
DNMBP,Dynamin-binding protein OS=Homo sapiens GN=DNMBP PE=1 SV=1,1.903409427,0.327139578
NOM1,Nucleolar MIF4G domain-containing protein 1 OS=Homo sapiens GN=NOM1 PE=1 SV=1,0.852085393,0.851827288
GAK,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2,1.274573257,0.399197813
N4BP2,NEDD4-binding protein 2 OS=Homo sapiens GN=N4BP2 PE=1 SV=2,1.018856641,0.213180994
ACINU,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,0.325174318,0.001182767
PAXB1,PAX3- and PAX7-binding protein 1 OS=Homo sapiens GN=PAXBP1 PE=1 SV=2,0.169750144,4.72E-05
AAK1,AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3,0.912553351,0.105777636
DPOD1,DNA polymerase delta catalytic subunit OS=Homo sapiens GN=POLD1 PE=1 SV=2,0.497478425,0.011078094
ZN638,Zinc finger protein 638 OS=Homo sapiens GN=ZNF638 PE=1 SV=2,0.033711086,3.75E-06
NU153,Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2,0.092634912,6.88E-05
ZFY16,Zinc finger FYVE domain-containing protein 16 OS=Homo sapiens GN=ZFYVE16 PE=1 SV=3,0.232257554,4.79E-05
BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens GN=BAZ1A PE=1 SV=2,0.319368551,0.000718264
P3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens GN=PIK3C2A PE=1 SV=2,0.635491132,0.233838848
MDN1,Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2,0.510540138,0.175318944
TRIO,Triple functional domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2,1.067698146,0.511256008
